name,industry,headquarters
Cloud1 Analytics,Cloud,City22
Vision2 Corp,Consulting,City55
Neo3 Corp,Telecom,City89
Neo4 Dynamics,Gaming,City86
Beta5 Soft,AI Research,City67
Smart6 Systems,Retail,City29
Data7 Soft,Technology,City76
Next8 Works,Consulting,City29
Tech9 Systems,Telecom,City81
Tech10 Works,Finance,City5
Prime11 Soft,Finance,City66
Neo12 Dynamics,Energy,City63
Neo13 Corp,Healthcare,City74
Alpha14 Analytics,Retail,City61
Core15 AI,Retail,City13
Data16 AI,Agriculture,City55
Bright17 Analytics,Telecom,City7
Beta18 Systems,Technology,City52
Omni19 Soft,Finance,City32
Neo20 Works,Cloud,City58
Cloud21 AI,Healthcare,City36
Smart22 Works,Finance,City57
Core23 Corp,Finance,City7
Beta24 Corp,Technology,City12
Core25 Works,Healthcare,City53
Smart26 Analytics,Retail,City52
Tech27 Solutions,Gaming,City1
Bright28 Dynamics,AI Research,City37
Bright29 Corp,Energy,City63
Cloud30 Works,Education,City28
Tech31 Networks,Telecom,City70
Tech32 Soft,Technology,City7
Alpha33 Analytics,Cloud,City68
Cloud34 Labs,Cloud,City11
Prime35 Solutions,Finance,City77
Data36 Works,Gaming,City16
Alpha37 Works,Consulting,City77
Tech38 Networks,Finance,City54
Beta39 Networks,Consulting,City67
Edge40 Dynamics,Retail,City86
Omni41 Soft,Retail,City34
Bright42 Solutions,Energy,City83
Vision43 Analytics,Agriculture,City10
Tech44 Analytics,Consulting,City73
Data45 Systems,Cloud,City28
Next46 Dynamics,Healthcare,City45
Data47 Works,Agriculture,City37
Cloud48 Analytics,Cloud,City39
Alpha49 Corp,Technology,City86
Prime50 Corp,Education,City85
Data51 Solutions,Education,City15
Data52 Corp,Healthcare,City35
Vision53 Networks,Retail,City44
Neo54 Dynamics,Cloud,City63
Vision55 Labs,Finance,City82
Bright56 Dynamics,Technology,City1
Edge57 Solutions,Energy,City34
Cloud58 Analytics,Cloud,City55
Next59 Labs,Finance,City10
Omni60 Solutions,Cloud,City5
Prime61 Soft,Consulting,City71
Cloud62 AI,Healthcare,City6
Vision63 Soft,Technology,City46
Neo64 Works,Energy,City14
Edge65 Corp,Gaming,City80
Omni66 Solutions,Retail,City21
Core67 Solutions,Gaming,City4
Cloud68 Soft,Gaming,City86
Prime69 Works,Education,City21
Core70 Systems,Gaming,City5
Prime71 Analytics,Retail,City26
Prime72 Analytics,Agriculture,City40
Prime73 Works,Retail,City4
Beta74 Works,Gaming,City43
Vision75 Systems,Education,City45
Beta76 Corp,Gaming,City87
Prime77 Corp,Agriculture,City4
Data78 Dynamics,Healthcare,City75
Vision79 Labs,Finance,City77
Bright80 Soft,Telecom,City41
Bright81 Networks,Cloud,City15
Bright82 Networks,Retail,City33
Tech83 AI,Technology,City67
Core84 Corp,Energy,City86
Neo85 Soft,Gaming,City9
Beta86 Soft,Consulting,City41
Beta87 Systems,Telecom,City39
Next88 Dynamics,Energy,City53
Edge89 AI,Telecom,City38
Next90 Solutions,Retail,City54
Beta91 AI,Energy,City23
Alpha92 Networks,Education,City52
Next93 Labs,Education,City37
Neo94 AI,Consulting,City78
Beta95 Soft,AI Research,City57
Smart96 Works,Cloud,City61
Core97 Solutions,Energy,City11
Vision98 Corp,Energy,City82
Alpha99 Soft,Finance,City31
Beta100 Dynamics,Retail,City26
Cloud101 Labs,Technology,City32
Smart102 Networks,Finance,City59
Bright103 Networks,Retail,City90
Bright104 Analytics,Gaming,City32
Cloud105 Labs,Finance,City55
Neo106 Solutions,Telecom,City67
Smart107 Labs,Cloud,City32
Prime108 Systems,AI Research,City18
Core109 Analytics,Energy,City68
Next110 Networks,Agriculture,City57
Alpha111 Corp,Gaming,City71
Smart112 Solutions,Telecom,City61
Smart113 Dynamics,Retail,City82
Vision114 Corp,AI Research,City81
Neo115 Dynamics,AI Research,City10
Omni116 Dynamics,Retail,City35
Edge117 Soft,Cloud,City11
Cloud118 Solutions,Retail,City50
Omni119 Solutions,Telecom,City28
Data120 AI,Gaming,City43
Next121 Analytics,Gaming,City8
Neo122 AI,Gaming,City75
Omni123 Labs,Consulting,City49
Smart124 Labs,Agriculture,City39
Core125 AI,Gaming,City69
Omni126 Corp,Consulting,City29
Smart127 Works,Education,City56
Smart128 Labs,Gaming,City44
Beta129 AI,Telecom,City22
Prime130 Analytics,Healthcare,City80
Next131 Labs,Gaming,City76
Alpha132 Labs,Finance,City83
Bright133 Solutions,AI Research,City24
Tech134 Dynamics,Gaming,City42
Neo135 Analytics,Agriculture,City44
Core136 AI,Education,City54
Vision137 Systems,AI Research,City3
Omni138 Corp,Technology,City45
Neo139 Systems,Energy,City6
Core140 Labs,Retail,City26
Prime141 Labs,Consulting,City20
Neo142 Solutions,AI Research,City86
Data143 Networks,Retail,City60
Omni144 Dynamics,Agriculture,City22
Alpha145 Networks,Telecom,City15
Core146 Solutions,Education,City14
Alpha147 Labs,Education,City74
Beta148 AI,Gaming,City26
Data149 Networks,Telecom,City81
Neo150 Systems,Telecom,City39
Prime151 Networks,Finance,City73
Core152 Labs,Agriculture,City69
Bright153 Soft,Finance,City65
Beta154 Soft,Technology,City54
Prime155 Analytics,Finance,City56
Edge156 Analytics,Telecom,City20
Bright157 Solutions,Telecom,City67
Beta158 Dynamics,Consulting,City69
Core159 Analytics,AI Research,City56
Prime160 Networks,Education,City42
Prime161 Works,Finance,City36
Smart162 Works,AI Research,City73
Alpha163 AI,Agriculture,City4
Smart164 Soft,Healthcare,City63
Neo165 Soft,Education,City44
Vision166 Networks,Telecom,City36
Next167 Labs,Cloud,City25
Data168 Works,Telecom,City53
Smart169 Corp,Retail,City89
Smart170 Analytics,AI Research,City3
Data171 Dynamics,Retail,City52
Omni172 Works,Education,City85
Alpha173 Soft,AI Research,City71
Next174 Soft,Gaming,City71
Edge175 Soft,Telecom,City59
Vision176 Dynamics,Education,City30
Data177 Works,Agriculture,City16
Omni178 Corp,Telecom,City24
Neo179 Works,Telecom,City62
Vision180 Networks,Cloud,City77
Vision181 Systems,Retail,City38
Neo182 Soft,Healthcare,City39
Tech183 Corp,Healthcare,City36
Tech184 Labs,Cloud,City38
Omni185 Solutions,Energy,City63
Data186 Labs,Consulting,City37
Smart187 Analytics,AI Research,City44
Cloud188 Labs,Education,City62
Data189 Systems,Gaming,City63
Data190 Networks,Energy,City88
Tech191 Solutions,Healthcare,City73
Vision192 Systems,Retail,City16
Next193 AI,Consulting,City77
Core194 Networks,Retail,City67
Bright195 Analytics,AI Research,City39
Prime196 Networks,Gaming,City40
Alpha197 Networks,Technology,City79
Omni198 Systems,Retail,City81
Neo199 Dynamics,Energy,City11
Cloud200 Works,Healthcare,City71
Data201 Solutions,Technology,City53
Smart202 Networks,AI Research,City38
Tech203 Works,Education,City37
Omni204 Analytics,Finance,City88
Neo205 Dynamics,Energy,City76
Beta206 Works,Gaming,City15
Next207 Works,Energy,City20
Vision208 Solutions,Finance,City8
Cloud209 Dynamics,Consulting,City73
Vision210 Analytics,Finance,City60
Omni211 Dynamics,Telecom,City52
Vision212 Corp,Cloud,City64
Smart213 Systems,Consulting,City6
Bright214 Soft,Consulting,City33
Tech215 Systems,Retail,City87
Prime216 Networks,Consulting,City3
Core217 Dynamics,Consulting,City6
Core218 Solutions,AI Research,City67
Beta219 Analytics,Education,City24
Alpha220 AI,Energy,City63
Data221 Analytics,Agriculture,City53
Edge222 Soft,Energy,City14
Prime223 Solutions,Agriculture,City53
Omni224 Analytics,Education,City85
Bright225 Corp,Technology,City59
Data226 Soft,Education,City42
Data227 AI,Cloud,City1
Beta228 Corp,AI Research,City53
Tech229 Works,Cloud,City47
Alpha230 Analytics,Energy,City57
Core231 Labs,Retail,City35
Next232 Solutions,Education,City57
Omni233 Analytics,Finance,City4
Beta234 Networks,Retail,City21
Vision235 Corp,Technology,City71
Bright236 Systems,Retail,City15
Smart237 Systems,Energy,City20
Smart238 Dynamics,Cloud,City35
Bright239 Analytics,AI Research,City32
Smart240 Corp,Healthcare,City50
Neo241 Networks,Cloud,City18
Prime242 Systems,Education,City54
Edge243 Corp,Education,City1
Vision244 Dynamics,Consulting,City75
Beta245 Analytics,Healthcare,City58
Next246 Analytics,Agriculture,City43
Next247 Corp,Gaming,City59
Edge248 Works,Telecom,City31
Alpha249 AI,Retail,City53
Tech250 Soft,Telecom,City61
Omni251 AI,Gaming,City85
Core252 Solutions,AI Research,City5
Cloud253 Corp,Consulting,City43
Prime254 Systems,AI Research,City13
Next255 Analytics,Technology,City19
Bright256 Solutions,Finance,City61
Core257 Dynamics,Agriculture,City80
Omni258 AI,Energy,City11
Prime259 Soft,Energy,City69
Bright260 Soft,Energy,City63
Prime261 Corp,Technology,City80
Data262 Works,Energy,City88
Vision263 Works,Telecom,City12
Bright264 Systems,Energy,City13
Smart265 Solutions,Telecom,City39
Tech266 Labs,Agriculture,City8
Vision267 Soft,Agriculture,City56
Cloud268 Works,Cloud,City53
Alpha269 Solutions,Healthcare,City23
Data270 Networks,Gaming,City80
Beta271 Works,AI Research,City75
Cloud272 Works,AI Research,City82
Vision273 Analytics,Education,City86
Tech274 Analytics,Education,City87
Next275 Solutions,Finance,City57
Edge276 Networks,Education,City82
Bright277 Dynamics,AI Research,City39
Neo278 AI,AI Research,City14
Neo279 AI,Consulting,City46
