name,domain,description,company
Project-10000,AI,Project-10000: AI project for analytics and ML.,Core231 Labs
Project-10001,AdTech,Project-10001: AdTech project for analytics and ML.,Tech191 Solutions
Project-10002,Energy,Project-10002: Energy project for analytics and ML.,Bright391 Dynamics
Project-10003,Healthcare,Project-10003: Healthcare project for analytics and ML.,Core294 Systems
Project-10004,Retail,Project-10004: Retail project for analytics and ML.,Cloud272 Works
Project-10005,AdTech,Project-10005: AdTech project for analytics and ML.,Omni204 Analytics
Project-10006,AdTech,Project-10006: AdTech project for analytics and ML.,Next333 Dynamics
Project-10007,Gaming,Project-10007: Gaming project for analytics and ML.,Smart128 Labs
Project-10008,Healthcare,Project-10008: Healthcare project for analytics and ML.,Alpha14 Analytics
Project-10009,Retail,Project-10009: Retail project for analytics and ML.,Bright256 Solutions
Project-10010,Transport,Project-10010: Transport project for analytics and ML.,Neo199 Dynamics
Project-10011,Transport,Project-10011: Transport project for analytics and ML.,Prime61 Soft
Project-10012,Gaming,Project-10012: Gaming project for analytics and ML.,Alpha397 Solutions
Project-10013,Gaming,Project-10013: Gaming project for analytics and ML.,Vision361 Dynamics
Project-10014,Energy,Project-10014: Energy project for analytics and ML.,Next110 Networks
Project-10015,Security,Project-10015: Security project for analytics and ML.,Alpha147 Labs
Project-10016,Energy,Project-10016: Energy project for analytics and ML.,Bright103 Networks
Project-10017,Healthcare,Project-10017: Healthcare project for analytics and ML.,Core70 Systems
Project-10018,Healthcare,Project-10018: Healthcare project for analytics and ML.,Next232 Solutions
Project-10019,Retail,Project-10019: Retail project for analytics and ML.,Data461 Analytics
Project-10020,Energy,Project-10020: Energy project for analytics and ML.,Data45 Systems
Project-10021,AI,Project-10021: AI project for analytics and ML.,Core496 Solutions
Project-10022,AdTech,Project-10022: AdTech project for analytics and ML.,Core342 Corp
Project-10023,AdTech,Project-10023: AdTech project for analytics and ML.,Omni364 Labs
Project-10024,Healthcare,Project-10024: Healthcare project for analytics and ML.,Alpha282 Labs
Project-10025,Transport,Project-10025: Transport project for analytics and ML.,Data149 Networks
Project-10026,Gaming,Project-10026: Gaming project for analytics and ML.,Tech436 AI
Project-10027,Retail,Project-10027: Retail project for analytics and ML.,Neo365 AI
Project-10028,AI,Project-10028: AI project for analytics and ML.,Next90 Solutions
Project-10029,AdTech,Project-10029: AdTech project for analytics and ML.,Prime261 Corp
Project-10030,Agriculture,Project-10030: Agriculture project for analytics and ML.,Vision63 Soft
Project-10031,Agriculture,Project-10031: Agriculture project for analytics and ML.,Edge406 Dynamics
Project-10032,Retail,Project-10032: Retail project for analytics and ML.,Neo122 AI
Project-10033,Energy,Project-10033: Energy project for analytics and ML.,Alpha14 Analytics
Project-10034,AdTech,Project-10034: AdTech project for analytics and ML.,Core284 Soft
Project-10035,Security,Project-10035: Security project for analytics and ML.,Data189 Systems
Project-10036,Energy,Project-10036: Energy project for analytics and ML.,Smart412 Systems
Project-10037,Transport,Project-10037: Transport project for analytics and ML.,Core67 Solutions
Project-10038,Security,Project-10038: Security project for analytics and ML.,Tech453 Dynamics
Project-10039,Healthcare,Project-10039: Healthcare project for analytics and ML.,Cloud34 Labs
Project-10040,Gaming,Project-10040: Gaming project for analytics and ML.,Omni204 Analytics
Project-10041,Energy,Project-10041: Energy project for analytics and ML.,Data270 Networks
Project-10042,EdTech,Project-10042: EdTech project for analytics and ML.,Neo394 Soft
Project-10043,EdTech,Project-10043: EdTech project for analytics and ML.,Alpha422 Solutions
Project-10044,Security,Project-10044: Security project for analytics and ML.,Tech38 Networks
Project-10045,Retail,Project-10045: Retail project for analytics and ML.,Tech498 Solutions
Project-10046,AdTech,Project-10046: AdTech project for analytics and ML.,Omni329 Systems
Project-10047,Healthcare,Project-10047: Healthcare project for analytics and ML.,Core231 Labs
Project-10048,Energy,Project-10048: Energy project for analytics and ML.,Data349 Soft
Project-10049,Transport,Project-10049: Transport project for analytics and ML.,Data177 Works
Project-10050,Retail,Project-10050: Retail project for analytics and ML.,Edge450 Works
Project-10051,Transport,Project-10051: Transport project for analytics and ML.,Cloud328 AI
Project-10052,Security,Project-10052: Security project for analytics and ML.,Neo94 AI
Project-10053,Retail,Project-10053: Retail project for analytics and ML.,Edge222 Soft
Project-10054,Transport,Project-10054: Transport project for analytics and ML.,Data467 Corp
Project-10055,Finance,Project-10055: Finance project for analytics and ML.,Omni426 Corp
Project-10056,Healthcare,Project-10056: Healthcare project for analytics and ML.,Tech266 Labs
Project-10057,Retail,Project-10057: Retail project for analytics and ML.,Edge156 Analytics
Project-10058,Retail,Project-10058: Retail project for analytics and ML.,Tech83 AI
Project-10059,AdTech,Project-10059: AdTech project for analytics and ML.,Vision479 Corp
Project-10060,Agriculture,Project-10060: Agriculture project for analytics and ML.,Omni178 Corp
Project-10061,Transport,Project-10061: Transport project for analytics and ML.,Data459 Labs
Project-10062,Gaming,Project-10062: Gaming project for analytics and ML.,Bright434 Solutions
Project-10063,Healthcare,Project-10063: Healthcare project for analytics and ML.,Beta129 AI
Project-10064,Agriculture,Project-10064: Agriculture project for analytics and ML.,Edge326 Works
Project-10065,Transport,Project-10065: Transport project for analytics and ML.,Prime141 Labs
Project-10066,Retail,Project-10066: Retail project for analytics and ML.,Neo321 Works
Project-10067,Gaming,Project-10067: Gaming project for analytics and ML.,Tech315 AI
Project-10068,Transport,Project-10068: Transport project for analytics and ML.,Cloud48 Analytics
Project-10069,Transport,Project-10069: Transport project for analytics and ML.,Omni329 Systems
Project-10070,Retail,Project-10070: Retail project for analytics and ML.,Omni304 Dynamics
Project-10071,Security,Project-10071: Security project for analytics and ML.,Vision79 Labs
Project-10072,Retail,Project-10072: Retail project for analytics and ML.,Alpha338 Networks
Project-10073,Security,Project-10073: Security project for analytics and ML.,Core369 Networks
Project-10074,Security,Project-10074: Security project for analytics and ML.,Alpha173 Soft
Project-10075,Security,Project-10075: Security project for analytics and ML.,Smart22 Works
Project-10076,Finance,Project-10076: Finance project for analytics and ML.,Bright42 Solutions
Project-10077,Finance,Project-10077: Finance project for analytics and ML.,Edge486 Corp
Project-10078,AI,Project-10078: AI project for analytics and ML.,Prime395 Solutions
Project-10079,Security,Project-10079: Security project for analytics and ML.,Core136 AI
Project-10080,AI,Project-10080: AI project for analytics and ML.,Prime108 Systems
Project-10081,Security,Project-10081: Security project for analytics and ML.,Bright214 Soft
Project-10082,Security,Project-10082: Security project for analytics and ML.,Cloud328 AI
Project-10083,Finance,Project-10083: Finance project for analytics and ML.,Next255 Analytics
Project-10084,AI,Project-10084: AI project for analytics and ML.,Alpha280 Dynamics
Project-10085,Gaming,Project-10085: Gaming project for analytics and ML.,Omni329 Systems
Project-10086,Gaming,Project-10086: Gaming project for analytics and ML.,Edge248 Works
Project-10087,Agriculture,Project-10087: Agriculture project for analytics and ML.,Next413 Solutions
Project-10088,AI,Project-10088: AI project for analytics and ML.,Vision208 Solutions
Project-10089,Gaming,Project-10089: Gaming project for analytics and ML.,Omni233 Analytics
Project-10090,Healthcare,Project-10090: Healthcare project for analytics and ML.,Vision353 Networks
Project-10091,Finance,Project-10091: Finance project for analytics and ML.,Bright81 Networks
Project-10092,Energy,Project-10092: Energy project for analytics and ML.,Smart213 Systems
Project-10093,Energy,Project-10093: Energy project for analytics and ML.,Smart238 Dynamics
Project-10094,Agriculture,Project-10094: Agriculture project for analytics and ML.,Edge175 Soft
Project-10095,Security,Project-10095: Security project for analytics and ML.,Beta74 Works
Project-10096,AdTech,Project-10096: AdTech project for analytics and ML.,Next442 AI
Project-10097,AdTech,Project-10097: AdTech project for analytics and ML.,Bright376 Networks
Project-10098,AdTech,Project-10098: AdTech project for analytics and ML.,Alpha500 Labs
Project-10099,EdTech,Project-10099: EdTech project for analytics and ML.,Core67 Solutions
Project-10100,AdTech,Project-10100: AdTech project for analytics and ML.,Bright264 Systems
Project-10101,Transport,Project-10101: Transport project for analytics and ML.,Vision55 Labs
Project-10102,AdTech,Project-10102: AdTech project for analytics and ML.,Smart124 Labs
Project-10103,Energy,Project-10103: Energy project for analytics and ML.,Vision63 Soft
Project-10104,Gaming,Project-10104: Gaming project for analytics and ML.,Core231 Labs
Project-10105,Agriculture,Project-10105: Agriculture project for analytics and ML.,Prime73 Works
Project-10106,Healthcare,Project-10106: Healthcare project for analytics and ML.,Smart26 Analytics
Project-10107,Gaming,Project-10107: Gaming project for analytics and ML.,Cloud485 Analytics
Project-10108,EdTech,Project-10108: EdTech project for analytics and ML.,Core443 Networks
Project-10109,Security,Project-10109: Security project for analytics and ML.,Tech215 Systems
Project-10110,Agriculture,Project-10110: Agriculture project for analytics and ML.,Omni493 Soft
Project-10111,Retail,Project-10111: Retail project for analytics and ML.,Core417 Soft
Project-10112,AdTech,Project-10112: AdTech project for analytics and ML.,Vision479 Corp
Project-10113,Security,Project-10113: Security project for analytics and ML.,Data370 Dynamics
Project-10114,AdTech,Project-10114: AdTech project for analytics and ML.,Vision98 Corp
Project-10115,Retail,Project-10115: Retail project for analytics and ML.,Bright256 Solutions
Project-10116,Transport,Project-10116: Transport project for analytics and ML.,Smart240 Corp
Project-10117,Energy,Project-10117: Energy project for analytics and ML.,Edge451 Works
Project-10118,Gaming,Project-10118: Gaming project for analytics and ML.,Next255 Analytics
Project-10119,Finance,Project-10119: Finance project for analytics and ML.,Data47 Works
Project-10120,EdTech,Project-10120: EdTech project for analytics and ML.,Prime259 Soft
Project-10121,Energy,Project-10121: Energy project for analytics and ML.,Beta495 AI
Project-10122,Agriculture,Project-10122: Agriculture project for analytics and ML.,Alpha111 Corp
Project-10123,Security,Project-10123: Security project for analytics and ML.,Vision181 Systems
Project-10124,Finance,Project-10124: Finance project for analytics and ML.,Smart26 Analytics
Project-10125,Gaming,Project-10125: Gaming project for analytics and ML.,Prime254 Systems
Project-10126,Security,Project-10126: Security project for analytics and ML.,Data452 Soft
Project-10127,AI,Project-10127: AI project for analytics and ML.,Omni345 Systems
Project-10128,Energy,Project-10128: Energy project for analytics and ML.,Alpha147 Labs
Project-10129,Transport,Project-10129: Transport project for analytics and ML.,Beta5 Soft
Project-10130,Healthcare,Project-10130: Healthcare project for analytics and ML.,Data221 Analytics
Project-10131,Retail,Project-10131: Retail project for analytics and ML.,Data452 Soft
Project-10132,Gaming,Project-10132: Gaming project for analytics and ML.,Data373 Soft
Project-10133,AdTech,Project-10133: AdTech project for analytics and ML.,Neo392 Soft
Project-10134,EdTech,Project-10134: EdTech project for analytics and ML.,Cloud188 Labs
Project-10135,Finance,Project-10135: Finance project for analytics and ML.,Beta206 Works
Project-10136,Finance,Project-10136: Finance project for analytics and ML.,Prime292 Solutions
Project-10137,Transport,Project-10137: Transport project for analytics and ML.,Beta100 Dynamics
Project-10138,AdTech,Project-10138: AdTech project for analytics and ML.,Core284 Soft
Project-10139,Gaming,Project-10139: Gaming project for analytics and ML.,Tech38 Networks
Project-10140,EdTech,Project-10140: EdTech project for analytics and ML.,Prime259 Soft
Project-10141,Energy,Project-10141: Energy project for analytics and ML.,Neo392 Soft
Project-10142,Transport,Project-10142: Transport project for analytics and ML.,Omni144 Dynamics
Project-10143,Security,Project-10143: Security project for analytics and ML.,Data349 Soft
